channel_name,day,channel_id
Alinthuta21784,2023-01-20,11
Alinthuta21784,2023-01-24,6
Alinthuta21784,2023-01-26,24
Alinthuta21784,2023-01-27,33
Alinthuta21784,2023-01-30,21
Alinthuta21784,2023-02-01,56
Alinthuta21784,2023-02-02,40
Alinthuta21784,2023-02-05,17
Alinthuta21784,2023-02-07,21
Alinthuta21784,2023-02-08,53
Alinthuta21784,2023-02-10,6
Alinthuta21784,2023-02-11,29
Alinthuta21784,2023-02-13,26
Alinthuta21784,2023-02-14,43
Alinthuta21784,2023-02-16,12
Alinthuta21784,2023-02-17,64
Alinthuta21784,2023-02-20,43
Alinthuta21784,2023-02-23,47
Alinthuta21784,2023-02-26,28
Alinthuta21784,2023-02-28,12
Alinthuta21784,2023-03-01,27
Alinthuta21784,2023-03-03,1
Alinthuta21784,2023-03-04,43
Alinthuta21784,2023-03-07,20
Alinthuta21784,2023-03-09,3
Alinthuta21784,2023-03-10,11
Alinthuta21784,2023-03-13,19
Alinthuta21784,2023-03-16,21
Alinthuta21784,2023-03-19,16
Alinthuta21784,2023-03-21,11
Alinthuta21784,2023-03-22,19
Alinthuta21784,2023-03-24,1
Alinthuta21784,2023-03-25,15
Alinthuta21784,2023-03-28,22
Alinthuta21784,2023-03-31,14
Alinthuta21784,2023-04-02,3
Alinthuta21784,2023-04-04,15
Alinthuta21784,2023-04-06,30
Datha7980,2022-03-24,29
Datha7980,2022-03-25,40
Datha7980,2022-03-26,3
Datha7980,2022-03-28,15
Datha7980,2022-03-30,23
Datha7980,2022-03-31,43
Datha7980,2022-04-01,4
Datha7980,2022-04-05,13
Datha7980,2022-04-18,6
Datha7980,2022-04-19,39
Datha7980,2022-04-20,32
Datha7980,2022-04-21,31
Datha7980,2022-04-22,7
Datha7980,2022-04-23,4
Datha7980,2022-04-24,10
Datha7980,2022-04-25,5
Datha7980,2022-04-26,61
Datha7980,2022-04-27,18
Datha7980,2022-04-28,35
Datha7980,2022-04-29,51
Datha7980,2022-04-30,26
Datha7980,2022-05-01,39
Datha7980,2022-05-02,44
Datha7980,2022-05-03,42
Datha7980,2022-05-04,41
Datha7980,2022-05-05,21
Datha7980,2022-05-06,54
Datha7980,2022-05-07,48
Datha7980,2022-05-08,30
Datha7980,2022-05-09,40
Datha7980,2022-05-10,50
Datha7980,2022-05-11,49
Datha7980,2022-05-12,38
Datha7980,2022-05-13,40
Datha7980,2022-05-14,42
Datha7980,2022-05-15,35
Datha7980,2022-05-16,46
Datha7980,2022-05-17,86
Datha7980,2022-05-18,38
Datha7980,2022-05-19,49
Datha7980,2022-05-20,20
Datha7980,2022-05-21,19
Datha7980,2022-05-22,78
Datha7980,2022-05-23,43
Datha7980,2022-05-24,36
Datha7980,2022-05-25,44
Datha7980,2022-05-26,28
Datha7980,2022-05-27,37
Datha7980,2022-05-28,16
Datha7980,2022-05-29,32
Datha7980,2022-05-30,29
Datha7980,2022-05-31,26
Datha7980,2022-06-01,33
Datha7980,2022-06-02,15
Datha7980,2022-06-03,33
Datha7980,2022-06-04,23
Datha7980,2022-06-05,40
Datha7980,2022-06-06,84
Datha7980,2022-06-07,82
Datha7980,2022-06-08,23
Datha7980,2022-06-09,26
Datha7980,2022-06-10,36
Datha7980,2022-06-11,15
Datha7980,2022-06-14,17
Datha7980,2022-06-16,17
Datha7980,2022-06-17,19
Datha7980,2022-06-18,10
Datha7980,2022-06-19,22
Datha7980,2022-06-20,8
Datha7980,2022-06-21,37
Datha7980,2022-06-22,102
Datha7980,2022-06-23,34
Datha7980,2022-06-24,30
Datha7980,2022-06-25,3
Datha7980,2022-06-26,41
Datha7980,2022-06-27,34
Datha7980,2022-06-28,68
Datha7980,2022-06-29,43
Datha7980,2022-06-30,40
Datha7980,2022-07-01,33
Datha7980,2022-07-02,28
Datha7980,2022-07-03,40
Datha7980,2022-07-04,48
Datha7980,2022-07-05,34
Datha7980,2022-07-06,47
Datha7980,2022-07-07,42
Datha7980,2022-07-08,54
Datha7980,2022-07-09,27
Datha7980,2022-07-10,60
Datha7980,2022-07-11,14
Datha7980,2022-07-12,61
Datha7980,2022-07-13,32
Datha7980,2022-07-14,25
Datha7980,2022-07-15,27
Datha7980,2022-07-16,22
Datha7980,2022-07-17,23
Datha7980,2022-07-18,25
Datha7980,2022-07-19,13
Datha7980,2022-07-20,18
Datha7980,2022-07-21,16
Datha7980,2022-07-22,11
Datha7980,2022-07-23,10
Datha7980,2022-07-24,13
Datha7980,2022-07-25,32
Datha7980,2022-07-26,17
Datha7980,2022-07-27,42
Datha7980,2022-07-28,28
Datha7980,2022-07-29,25
Datha7980,2022-07-30,24
Datha7980,2022-07-31,48
Datha7980,2022-08-01,45
Datha7980,2022-08-02,94
Datha7980,2022-08-03,55
Datha7980,2022-08-04,70
Datha7980,2022-08-05,33
Datha7980,2022-08-06,30
Datha7980,2022-08-07,85
Datha7980,2022-08-08,43
Datha7980,2022-08-09,19
Datha7980,2022-08-10,68
Datha7980,2022-08-11,28
Datha7980,2022-08-12,33
Datha7980,2022-08-13,31
Datha7980,2022-08-14,80
Datha7980,2022-08-15,45
Datha7980,2022-08-16,36
Datha7980,2022-08-17,59
Datha7980,2022-08-18,38
Datha7980,2022-08-19,59
Datha7980,2022-08-20,47
Datha7980,2022-08-21,21
Datha7980,2022-08-23,31
Datha7980,2022-08-24,9
Datha7980,2022-08-25,8
Datha7980,2022-08-26,22
Datha7980,2022-08-27,56
Datha7980,2022-08-28,42
Datha7980,2022-08-29,43
Datha7980,2022-08-30,45
Datha7980,2022-08-31,23
Datha7980,2022-09-01,26
Datha7980,2022-09-02,64
Datha7980,2022-09-03,21
Datha7980,2022-09-04,41
Datha7980,2022-09-05,27
Datha7980,2022-09-06,21
Datha7980,2022-09-07,45
Datha7980,2022-09-08,21
Datha7980,2022-09-09,41
Datha7980,2022-09-10,11
Datha7980,2022-09-11,29
Datha7980,2022-09-12,17
Datha7980,2022-09-13,7
Datha7980,2022-09-14,27
Datha7980,2022-09-15,10
Datha7980,2022-09-16,12
Datha7980,2022-09-17,28
Datha7980,2022-09-18,21
Datha7980,2022-09-19,19
Datha7980,2022-09-20,15
Datha7980,2022-09-21,17
Datha7980,2022-09-22,27
Datha7980,2022-09-23,26
Datha7980,2022-09-24,28
Datha7980,2022-09-25,22
Datha7980,2022-09-26,15
Datha7980,2022-09-27,23
Datha7980,2022-09-28,44
Datha7980,2022-09-29,63
Datha7980,2022-09-30,50
Datha7980,2022-10-01,50
Datha7980,2022-10-02,43
Datha7980,2022-10-03,50
Datha7980,2022-10-04,29
Datha7980,2022-10-05,40
Datha7980,2022-10-06,22
Datha7980,2022-10-07,45
Datha7980,2022-10-08,12
Datha7980,2022-10-09,114
Datha7980,2022-10-10,36
Datha7980,2022-10-11,41
Datha7980,2022-10-12,32
Datha7980,2022-10-13,49
Datha7980,2022-10-14,65
Datha7980,2022-10-15,93
Datha7980,2022-10-16,104
Datha7980,2022-10-17,97
Datha7980,2022-10-18,121
Datha7980,2022-10-19,124
Datha7980,2022-10-20,87
Datha7980,2022-10-21,111
Datha7980,2022-10-22,101
Datha7980,2022-10-23,56
Datha7980,2022-10-24,78
Datha7980,2022-10-25,142
Datha7980,2022-10-26,85
Datha7980,2022-10-27,65
Datha7980,2022-10-28,114
Datha7980,2022-10-29,41
Datha7980,2022-10-30,168
Datha7980,2022-10-31,108
Datha7980,2022-11-01,83
Datha7980,2022-11-02,55
Datha7980,2022-11-03,88
Datha7980,2022-11-04,96
Datha7980,2022-11-05,136
Datha7980,2022-11-06,43
Datha7980,2022-11-07,86
Datha7980,2022-11-08,86
Datha7980,2022-11-09,87
Datha7980,2022-11-10,96
Datha7980,2022-11-11,68
Datha7980,2022-11-12,87
Datha7980,2022-11-13,85
Datha7980,2022-11-14,156
Datha7980,2022-11-15,117
Datha7980,2022-11-16,96
Datha7980,2022-11-17,69
Datha7980,2022-11-18,73
Datha7980,2022-11-19,66
Datha7980,2022-11-20,65
Datha7980,2022-11-21,100
Datha7980,2022-11-22,106
Datha7980,2022-11-23,105
Datha7980,2022-11-24,63
Datha7980,2022-11-25,94
Datha7980,2022-11-26,94
Datha7980,2022-11-27,23
Datha7980,2022-11-28,240
Datha7980,2022-11-29,160
Datha7980,2022-11-30,193
Datha7980,2022-12-01,16
Datha7980,2022-12-02,15
Datha7980,2022-12-03,39
Datha7980,2022-12-04,27
Datha7980,2022-12-05,21
Datha7980,2022-12-06,28
Datha7980,2022-12-07,24
Datha7980,2022-12-08,30
Datha7980,2022-12-09,18
Datha7980,2022-12-10,19
Datha7980,2022-12-11,22
Datha7980,2022-12-12,29
Datha7980,2022-12-13,18
Datha7980,2022-12-14,35
Datha7980,2022-12-15,30
Datha7980,2022-12-16,50
Datha7980,2022-12-17,37
Datha7980,2022-12-18,25
Datha7980,2022-12-19,40
Datha7980,2022-12-20,19
Datha7980,2022-12-21,24
Datha7980,2022-12-22,30
Datha7980,2022-12-23,35
Datha7980,2022-12-24,39
Datha7980,2022-12-25,22
Datha7980,2022-12-26,14
Datha7980,2022-12-27,31
Datha7980,2022-12-28,41
Datha7980,2022-12-29,53
Datha7980,2022-12-30,41
Datha7980,2022-12-31,17
Datha7980,2023-01-01,32
Datha7980,2023-01-02,19
Datha7980,2023-01-03,19
Datha7980,2023-01-04,48
Datha7980,2023-01-09,26
Datha7980,2023-01-10,16
Datha7980,2023-01-11,12
Datha7980,2023-01-12,10
Datha7980,2023-01-13,15
Datha7980,2023-01-14,26
Datha7980,2023-01-15,24
Datha7980,2023-01-16,23
Datha7980,2023-01-17,24
Datha7980,2023-01-18,27
Datha7980,2023-01-19,27
Datha7980,2023-01-20,53
Datha7980,2023-01-21,2
Datha7980,2023-01-22,26
Datha7980,2023-01-23,19
Datha7980,2023-01-24,12
Datha7980,2023-01-25,30
Datha7980,2023-01-26,29
Datha7980,2023-01-27,13
Datha7980,2023-01-28,19
Datha7980,2023-01-29,4
Datha7980,2023-01-30,29
Datha7980,2023-01-31,39
Datha7980,2023-02-01,48
Datha7980,2023-02-02,81
Datha7980,2023-02-03,17
Datha7980,2023-02-04,28
Datha7980,2023-02-05,20
Datha7980,2023-02-06,14
Datha7980,2023-02-07,12
Datha7980,2023-02-08,20
Datha7980,2023-02-09,6
Datha7980,2023-02-10,41
Datha7980,2023-02-11,6
Datha7980,2023-02-12,37
Datha7980,2023-02-13,10
Datha7980,2023-02-14,41
Datha7980,2023-02-15,41
Datha7980,2023-02-16,20
Datha7980,2023-02-17,58
Datha7980,2023-02-18,12
Datha7980,2023-02-19,17
Datha7980,2023-02-20,30
Datha7980,2023-02-21,16
Datha7980,2023-02-22,35
Datha7980,2023-02-23,24
Datha7980,2023-02-24,36
Datha7980,2023-02-25,53
Datha7980,2023-02-26,46
Datha7980,2023-02-27,59
Datha7980,2023-02-28,43
Datha7980,2023-03-01,29
Datha7980,2023-03-02,33
Datha7980,2023-03-03,40
Datha7980,2023-03-04,40
Datha7980,2023-03-05,42
Datha7980,2023-03-06,24
Datha7980,2023-03-07,34
Datha7980,2023-03-08,25
Datha7980,2023-03-09,38
Datha7980,2023-03-10,47
Datha7980,2023-03-11,34
Datha7980,2023-03-12,46
Datha7980,2023-03-13,51
Datha7980,2023-03-14,51
Datha7980,2023-03-15,35
Datha7980,2023-03-16,55
Datha7980,2023-03-17,33
Datha7980,2023-03-18,44
Datha7980,2023-03-19,23
Datha7980,2023-03-20,19
Datha7980,2023-03-21,54
Datha7980,2023-03-22,34
Datha7980,2023-03-23,37
Datha7980,2023-03-24,66
Datha7980,2023-03-25,41
Datha7980,2023-03-26,41
Datha7980,2023-03-27,24
Datha7980,2023-03-28,20
Datha7980,2023-03-29,15
Datha7980,2023-03-30,33
Datha7980,2023-03-31,55
Datha7980,2023-04-01,33
Datha7980,2023-04-02,29
Datha7980,2023-04-03,46
Datha7980,2023-04-04,36
Datha7980,2023-04-05,39
Datha7980,2023-04-06,17
Mwdmmnews,2021-03-31,18
Mwdmmnews,2021-04-01,8
Mwdmmnews,2021-04-02,18
Mwdmmnews,2021-04-03,29
Mwdmmnews,2021-04-04,35
Mwdmmnews,2021-04-05,17
Mwdmmnews,2021-04-06,17
Mwdmmnews,2021-04-07,18
Mwdmmnews,2021-04-08,30
Mwdmmnews,2021-04-09,44
Mwdmmnews,2021-04-10,1
Mwdmmnews,2021-04-11,21
Mwdmmnews,2021-04-12,18
Mwdmmnews,2021-04-13,42
Mwdmmnews,2021-04-14,13
Mwdmmnews,2021-04-15,18
Mwdmmnews,2021-04-17,43
Mwdmmnews,2021-04-18,20
Mwdmmnews,2021-04-19,22
Mwdmmnews,2021-04-20,21
Mwdmmnews,2021-04-21,18
Mwdmmnews,2021-04-22,23
Mwdmmnews,2021-04-23,23
Mwdmmnews,2021-04-24,22
Mwdmmnews,2021-04-25,8
Mwdmmnews,2021-04-26,35
Mwdmmnews,2021-04-27,23
Mwdmmnews,2021-04-28,24
Mwdmmnews,2021-04-29,3
Mwdmmnews,2021-04-30,29
Mwdmmnews,2021-05-01,23
Mwdmmnews,2021-05-02,26
Mwdmmnews,2021-05-03,19
Mwdmmnews,2021-05-04,22
Mwdmmnews,2021-05-05,25
Mwdmmnews,2021-05-06,2
Mwdmmnews,2021-05-07,31
Mwdmmnews,2021-05-08,28
Mwdmmnews,2021-05-09,20
Mwdmmnews,2021-05-10,22
Mwdmmnews,2021-05-11,1
Mwdmmnews,2021-05-12,46
Mwdmmnews,2021-05-13,23
Mwdmmnews,2021-05-14,26
Mwdmmnews,2021-05-15,37
Mwdmmnews,2021-05-16,20
Mwdmmnews,2021-05-17,18
Mwdmmnews,2021-05-18,27
Mwdmmnews,2021-05-19,29
Mwdmmnews,2021-05-20,25
Mwdmmnews,2021-05-21,23
Mwdmmnews,2021-05-22,20
Mwdmmnews,2021-05-23,12
Mwdmmnews,2021-05-24,23
Mwdmmnews,2021-05-25,20
Mwdmmnews,2021-05-26,19
Mwdmmnews,2021-05-27,21
Mwdmmnews,2021-05-28,27
Mwdmmnews,2021-05-29,16
Mwdmmnews,2021-05-30,13
Mwdmmnews,2021-05-31,25
Mwdmmnews,2021-06-01,21
Mwdmmnews,2021-06-02,14
Mwdmmnews,2021-06-03,7
Mwdmmnews,2021-06-04,16
Mwdmmnews,2021-06-05,15
Mwdmmnews,2021-06-06,15
Mwdmmnews,2021-06-07,16
Mwdmmnews,2021-06-09,18
Mwdmmnews,2021-06-10,13
Mwdmmnews,2021-06-11,19
Mwdmmnews,2021-06-12,37
Mwdmmnews,2021-06-13,16
Mwdmmnews,2021-06-14,21
Mwdmmnews,2021-06-15,21
Mwdmmnews,2021-06-16,16
Mwdmmnews,2021-06-17,24
Mwdmmnews,2021-06-18,22
Mwdmmnews,2021-06-19,10
Mwdmmnews,2021-06-20,16
Mwdmmnews,2021-06-21,20
Mwdmmnews,2021-06-22,22
Mwdmmnews,2021-06-23,20
Mwdmmnews,2021-06-24,15
Mwdmmnews,2021-06-25,22
Mwdmmnews,2021-06-26,13
Mwdmmnews,2021-06-27,15
Mwdmmnews,2021-06-28,28
Mwdmmnews,2021-06-29,30
Mwdmmnews,2021-06-30,30
Mwdmmnews,2021-07-01,25
Mwdmmnews,2021-07-02,29
Mwdmmnews,2021-07-03,19
Mwdmmnews,2021-07-04,15
Mwdmmnews,2021-07-05,23
Mwdmmnews,2021-07-06,33
Mwdmmnews,2021-07-07,24
Mwdmmnews,2021-07-08,15
Mwdmmnews,2021-07-09,14
Mwdmmnews,2021-07-10,16
Mwdmmnews,2021-07-11,19
Mwdmmnews,2021-07-12,36
Mwdmmnews,2021-07-13,17
Mwdmmnews,2021-07-14,22
Mwdmmnews,2021-07-15,27
Mwdmmnews,2021-07-16,29
Mwdmmnews,2021-07-17,25
Mwdmmnews,2021-07-18,23
Mwdmmnews,2021-07-19,32
Mwdmmnews,2021-07-20,12
Mwdmmnews,2021-07-21,14
Mwdmmnews,2021-07-22,19
Mwdmmnews,2021-07-23,23
Mwdmmnews,2021-07-24,19
Mwdmmnews,2021-07-25,16
Mwdmmnews,2021-07-26,22
Mwdmmnews,2021-07-27,31
Mwdmmnews,2021-07-29,31
Mwdmmnews,2021-07-30,25
Mwdmmnews,2021-07-31,22
Mwdmmnews,2021-08-01,36
Mwdmmnews,2021-08-02,22
Mwdmmnews,2021-08-03,20
Mwdmmnews,2021-08-04,26
Mwdmmnews,2021-08-05,15
Mwdmmnews,2021-08-06,26
Mwdmmnews,2021-08-07,18
Mwdmmnews,2021-08-08,24
Mwdmmnews,2021-08-09,20
Mwdmmnews,2021-08-10,8
Mwdmmnews,2021-08-11,45
Mwdmmnews,2021-08-12,30
Mwdmmnews,2021-08-13,14
Mwdmmnews,2021-08-14,11
Mwdmmnews,2021-08-15,16
Mwdmmnews,2021-08-16,23
Mwdmmnews,2021-08-17,7
Mwdmmnews,2021-08-18,38
Mwdmmnews,2021-08-19,14
Mwdmmnews,2021-08-20,15
Mwdmmnews,2021-08-21,19
Mwdmmnews,2021-08-22,14
Mwdmmnews,2021-08-23,8
Mwdmmnews,2021-08-24,16
Mwdmmnews,2021-08-25,9
Mwdmmnews,2021-08-26,25
Mwdmmnews,2021-08-27,21
Mwdmmnews,2021-08-28,5
Mwdmmnews,2021-08-29,7
Mwdmmnews,2021-08-30,12
Mwdmmnews,2021-08-31,7
Mwdmmnews,2021-09-01,22
Mwdmmnews,2021-09-02,12
Mwdmmnews,2021-09-03,14
Mwdmmnews,2021-09-04,20
Mwdmmnews,2021-09-05,5
Mwdmmnews,2021-09-06,15
Mwdmmnews,2021-09-07,29
Mwdmmnews,2021-09-08,15
Mwdmmnews,2021-09-09,14
Mwdmmnews,2021-09-10,31
Mwdmmnews,2021-09-11,18
Mwdmmnews,2021-09-12,16
Mwdmmnews,2021-09-13,18
Mwdmmnews,2021-09-14,17
Mwdmmnews,2021-09-15,19
Mwdmmnews,2021-09-16,22
Mwdmmnews,2021-09-17,16
Mwdmmnews,2021-09-18,25
Mwdmmnews,2021-09-19,15
Mwdmmnews,2021-09-20,17
Mwdmmnews,2021-09-21,17
Mwdmmnews,2021-09-22,16
Mwdmmnews,2021-09-23,22
Mwdmmnews,2021-09-24,19
Mwdmmnews,2021-09-25,10
Mwdmmnews,2021-09-26,15
Mwdmmnews,2021-09-27,8
Mwdmmnews,2021-09-28,17
Mwdmmnews,2021-09-29,9
Mwdmmnews,2021-09-30,39
Mwdmmnews,2021-10-01,17
Mwdmmnews,2021-10-02,14
Mwdmmnews,2021-10-03,11
Mwdmmnews,2021-10-04,16
Mwdmmnews,2021-10-05,10
Mwdmmnews,2021-10-06,13
Mwdmmnews,2021-10-07,14
Mwdmmnews,2021-10-08,17
Mwdmmnews,2021-10-09,17
Mwdmmnews,2021-10-10,5
Mwdmmnews,2021-10-11,21
Mwdmmnews,2021-10-12,7
Mwdmmnews,2021-10-13,17
Mwdmmnews,2021-10-14,11
Mwdmmnews,2021-10-15,12
Mwdmmnews,2021-10-16,10
Mwdmmnews,2021-10-17,10
Mwdmmnews,2021-10-18,15
Mwdmmnews,2021-10-19,10
Mwdmmnews,2021-10-21,9
Mwdmmnews,2021-10-22,4
Mwdmmnews,2021-10-23,24
Mwdmmnews,2021-10-24,8
Mwdmmnews,2021-10-25,14
Mwdmmnews,2021-10-26,12
Mwdmmnews,2021-10-27,17
Mwdmmnews,2021-10-28,4
Mwdmmnews,2021-10-29,9
Mwdmmnews,2021-10-30,7
Mwdmmnews,2021-10-31,5
Mwdmmnews,2021-11-01,13
Mwdmmnews,2021-11-02,17
Mwdmmnews,2021-11-03,4
Mwdmmnews,2021-11-04,10
Mwdmmnews,2021-11-06,23
Mwdmmnews,2021-11-07,10
Mwdmmnews,2021-11-08,10
Mwdmmnews,2021-11-10,5
Mwdmmnews,2021-11-11,4
Mwdmmnews,2021-11-12,4
Mwdmmnews,2021-11-13,13
Mwdmmnews,2021-11-14,13
Mwdmmnews,2021-11-15,15
Mwdmmnews,2021-11-16,16
Mwdmmnews,2021-11-17,12
Mwdmmnews,2021-11-18,13
Mwdmmnews,2021-11-19,8
Mwdmmnews,2021-11-20,6
Mwdmmnews,2021-11-21,6
Mwdmmnews,2021-11-22,7
Mwdmmnews,2021-11-23,16
Mwdmmnews,2021-11-24,17
Mwdmmnews,2021-11-25,16
Mwdmmnews,2021-11-26,27
Mwdmmnews,2021-11-28,26
Mwdmmnews,2021-11-29,17
Mwdmmnews,2021-11-30,5
Mwdmmnews,2021-12-01,8
Mwdmmnews,2021-12-02,6
Mwdmmnews,2021-12-03,6
Mwdmmnews,2021-12-04,7
Mwdmmnews,2021-12-05,10
Mwdmmnews,2021-12-06,18
Mwdmmnews,2021-12-07,16
Mwdmmnews,2021-12-08,18
Mwdmmnews,2021-12-09,1
Mwdmmnews,2021-12-10,12
Mwdmmnews,2021-12-11,13
Mwdmmnews,2021-12-12,13
Mwdmmnews,2021-12-13,5
Mwdmmnews,2021-12-14,11
Mwdmmnews,2021-12-15,6
Mwdmmnews,2021-12-16,8
Mwdmmnews,2021-12-18,7
Mwdmmnews,2021-12-19,6
Mwdmmnews,2021-12-20,4
Mwdmmnews,2021-12-22,10
Mwdmmnews,2021-12-23,14
Mwdmmnews,2021-12-24,14
Mwdmmnews,2021-12-25,11
Mwdmmnews,2021-12-26,11
Mwdmmnews,2021-12-27,14
Mwdmmnews,2021-12-28,4
Mwdmmnews,2021-12-30,17
Mwdmmnews,2022-01-01,13
Mwdmmnews,2022-01-03,16
Mwdmmnews,2022-01-04,22
Mwdmmnews,2022-01-05,13
Mwdmmnews,2022-01-06,13
Mwdmmnews,2022-01-07,17
Mwdmmnews,2022-01-08,15
Mwdmmnews,2022-01-09,19
Mwdmmnews,2022-01-10,8
Mwdmmnews,2022-01-11,19
Mwdmmnews,2022-01-12,14
Mwdmmnews,2022-01-13,8
Mwdmmnews,2022-01-14,29
Mwdmmnews,2022-01-15,13
Mwdmmnews,2022-01-16,22
Mwdmmnews,2022-01-17,8
Mwdmmnews,2022-01-18,11
Mwdmmnews,2022-01-19,14
Mwdmmnews,2022-01-20,10
Mwdmmnews,2022-01-21,9
Mwdmmnews,2022-01-22,14
Mwdmmnews,2022-01-23,13
Mwdmmnews,2022-01-24,9
Mwdmmnews,2022-01-25,13
Mwdmmnews,2022-01-26,15
Mwdmmnews,2022-01-27,12
Mwdmmnews,2022-01-28,3
Mwdmmnews,2022-01-29,10
Mwdmmnews,2022-01-30,7
Mwdmmnews,2022-01-31,13
Mwdmmnews,2022-02-01,23
Mwdmmnews,2022-02-02,13
Mwdmmnews,2022-02-03,20
Mwdmmnews,2022-02-04,15
Mwdmmnews,2022-02-05,16
Mwdmmnews,2022-02-06,13
Mwdmmnews,2022-02-07,21
Mwdmmnews,2022-02-08,12
Mwdmmnews,2022-02-09,16
Mwdmmnews,2022-02-10,24
Mwdmmnews,2022-02-12,17
Mwdmmnews,2022-02-13,3
Mwdmmnews,2022-02-14,4
Mwdmmnews,2022-02-15,10
Mwdmmnews,2022-02-16,9
Mwdmmnews,2022-02-17,14
Mwdmmnews,2022-02-18,10
Mwdmmnews,2022-02-19,11
Mwdmmnews,2022-02-20,8
Mwdmmnews,2022-02-21,5
Mwdmmnews,2022-02-22,9
Mwdmmnews,2022-02-23,10
Mwdmmnews,2022-02-24,10
Mwdmmnews,2022-02-25,2
Mwdmmnews,2022-02-27,9
Mwdmmnews,2022-02-28,15
Mwdmmnews,2022-03-01,14
Mwdmmnews,2022-03-02,10
